index,title,abstract,year,mdate,key,page,volume,journal,number,ee,url
10009,An Advanced Accounting Service for AIX Systems.,"Resource usage is important input for a number of IT processes including those related to: Financial Management; Capacity Planning; Service Level Management; and Configuration Management. Accounting systems in traditional UNIX / Linux environments generate a usage record at the end of each process. Administrators periodically use standard accounting system utilities to summarize resource usage using the user and application data recorded with each of these records. Recent advances in Dynamic LPAR technologies and Service Oriented Architectures have placed new requirements on the metering of resource usage. In a Dynamic LPAR environment, allocations must be measured and processed to obtain accurate information on resource usage. Transactions performed using Service Oriented Architectures deployed on heterogeneous, distributed systems introduce new challenges for metering resource usage based on transaction classes. In this paper we present the design and implementation of a J2EE-based accounting service which exposes manageability and reporting interfaces for the AIX advanced accounting system. The reporting interface can be used to generate process-based, LPAR-based and transaction-based usage reports.",2005,,,,,IEEE SCC,,,
10010,Pyros - an environment for building and orchestrating open services.,"Service oriented computing has gained a considerable momentum as a new paradigm for building enterprise information systems. Notable efforts have been made recently from both researchers and industrials to support the construction of service-based applications, nevertheless several issues still need to be tackled including service de?nition and adaptation, and services orchestration. This work proposes PYROS, an environment for building and orchestrating open services. An open service is represented by a workflow that coordinates calls to service provider methods. Thereby component activities and the way they are synchronized are rendered visible. In order to finely orchestrate services, they are associated with entry points. An entry point acts as a gateway for inserting and getting information about the progress of service execution. The paper details the approach adopted by PYROS for building and orchestrating services, and presents associated architectural choices. Furthermore, it reports an experimentation that we conducted for implementing an eTrader application using PYROS.",2005,,,,,IEEE SCC,,,
10011,Toward Intention Aware Semantic Web Service Systems.,"A goal driven intention extraction approach is proposed to automate the process of extracting user intention from the original Web service request terms. We introduce a method for analyzing the request terms to fit user intension, so that the service provided will be more suitable for the user. The input terms will be parsed into different word sense sets. With the lexical dictionary and domain ontology, possible senses of the terms will be identified. A goal structure is constructed to help the identification of goal models which represent the user intention. By combining the information of request terms and goal structures, one or more goal models will be identified. A goal selector will select a candidate goal model from generated goal models to represent the user intention. A service request agent is designed to generate and execute plans to satisfy the goals.",2005,,,,,IEEE SCC,,,
10012,A Fine-Grained Access Control Model for Web Services.,"The emerging Web service technology has enabled the development of Internet-based applications that integrate distributed and heterogeneous systems and processes which are owned by different organizations. However, while Web services are rapidly becoming a fundamental paradigm for the development of complex Web applications, several security issues still need to be addressed.Among the various open issues concerning security, an important issue is represented by the development of suitable access control models, able to restrict access to Web services to authorized users.In this paper we present an innovative access control model for Web services.The model is characterized by a number of key features, including identity attributes and service negotiation capabilities.We also discuss an architecture implementing the model and we propose the use of a certificate scheme able to support the exchange and verification of subject attributes.",2004,,,,,IEEE SCC,,,
10013,Contextual Collaboration: Platform and Applications.,"Contextual collaboration refers to people-to-people collaboration from within IT-enabled business operations. We have designed and implemented a middleware platform for enabling contextual collaboration, and built collaborative applications on top of the platform. The platform embodies three main themes: on-demand, adaptive, and integrated. It is on-demand in that it allows collaboration data and services to be accessed from within business applications as the business need arises. It is adaptive in that it brings the right set of collaboration elements to the user, in a manner sensitive to business context. It integrates collaboration elements across multiple sources, multiple modalities, and multiple vendor technologies. In addition, it integrates structured collaborative activities with ad hoc peer collaboration tools, and with the business processes at large. To validate and leverage the contextual collaboration platform, we have developed an Eclipse-based collaborative development environment and a browser that enables collaborative Web applications. Our contextual collaboration platform and applications promise to yield a more productive and more satisfying business practice.",2004,,,,,IEEE SCC,,,
10014,A Transaction-Oriented Framework for Composing Transactional Web Services.,,2004,,,,,IEEE SCC,,,
10015,Identity Based Proxy-Signcryption Scheme from Pairings.,"An identity based cryptosystem is a novel type of public cryptographic scheme in which the public keys of the users are their identities or strings derived from their identities. A signcryption is a primitive that provides private and authenticated delivery of messages between two parties. Proxy signature schemes are variations of ordinary digital signature schemes and have been shown to be useful in many applications. In this paper, We proposed an identity based proxy-signcryption scheme from pairings. Also we analyze the proposed scheme from efficiency and security points of view. Heuristic arguments have been given for those security properties. We have shown that the proxy-signcryption scheme is as efficient as ordinary identity based signcryption schemes under certain circumstances.",2004,,,,,IEEE SCC,,,
10016,Similarity-based Web Service Matchmaking.,"With the increasing growth in popularity of Web services, matchmaking of relevant Web services becomes a significant challenge. Commonly, Web service is described by WSDL and published on UDDI registers. UDDI provides limited search facilities allowing only a keyword-based search of businesses, services, and the so called tModels based on names and identifiers. This category-based keyword-browsing method is clearly insufficient. Semantic Web service uses DAML-S instead of WSDL to represent capabilities of Web services. This improvement enables software agents or search engines to automatically find appropriate Web services via ontologies and reasoning algorithm enriched methods. However, the high cost of formally defining to the heavy and complicated services makes this improvement widespread adoption unlikely. To cope with these limitations, we have developed a suite of methods which assesses the similarity of Web services to achieve matchmaking. In particular, we present a conceptual model which classifies properties of Web services into four categories. For each category, a similarity assessment method has been given. In Web service matchmaking process, these similarity assessment methods can be used together or individually. Experiments highlight complementary contributions that our work makes to facilitate web service matchmaking.",2005,,,,,IEEE SCC,,,
10017,Fair BPEL Processes Transaction using Non-Repudiation Protocols.,There is a need for protocols to achieve universal interoperability among web services and to provide a fair and secure environment with non-repudiation. BPEL provides a language for the formal specification of business processes and business interaction protocols. In this paper we propose and a verify nonrepudiation protocol using Petri Nets for chain-linked business transactions and show that they may be specified in BPEL.,2005,,,,,IEEE SCC,,,
10018,Decentralized Resilient Grid Resource Management Overlay Networks.,"Recently, Grid and peer-to-peer overlays have attracted attention from research communities as well as industry. However, the overwhelming majority of industrial, commercial and academic activities are geared around applications, servers, and middleware. There have been some efforts in the management of the underlying networks (the connectivity for the overlays), but far from enough. This paper proposes a resilient, fault-adaptive, overlay resource management framework, with lightweight state management infrastructure, taken from some ongoing work by the authors in this area. This research aims to solve the problems of: (a) managing distributed network resources in a decentralized way; (b) providing resilient QoS for highly dynamic networks.",2004,,,,,IEEE SCC,,,
10020,Case Study: Using Web Services for the Management of Environmental Data.,"CCLRC is involved in the development of grid and data management tools for a number of e-Science projects in the UK including the Natural Environment Research Council (NERC) funded ""Environment from the Molecular Level"" [http://www.eminerals.org].CCLRC's web services based multidisciplinary Data Portal [http://www.e-science.clrc.ac.uk/web/projects/dataportal], uses an XML metadata model of scientific data [http://www-dienst.rl.ac.uk/library/2002/tr/dltr-2002001.pdf] to explore and access the content of data resources within CCLRC's main laboratories in the UK and other facilities in Europe.Last year CCLRC adapted the Data Portal for the project so that earth scientists could store and access their own metadata and datasets, and simultaneously access related metadata and datasets from other facilities around the world.To achieve this the Data Portal was redeveloped using Web Service technology so that the internal services could be accessed via any user interface or system specific to the e-science project community.Previously, access was provided only via a standard web browser.",2004,,,,,IEEE SCC,,,
10021,Designing Privacy Policies for Adopting RFID in the Retail Industry.,"Radio Frequency Identification (RFID) technologies can potentially improve the productivity of retailers. In this paper, we propose a role-based, enterprise-level, RFID-oriented privacy authorization model for supporting the privacy policies in utilizing RFID in retail industry.",2005,,,,,IEEE SCC,,,
10022,PEM: A Framework Enabling Continual Optimization of Workflow Process Executions Based upon Business Value Metrics.,"The competitiveness of the market place and the advent of on demand services computing are encouraging many organizations to improve their business efficiency and agility via business process management technologies. A lot of work has been done in process codification, tracking, and automation. However, a significant gap still remains between the way an organizationÂ¿s codified processes execute and the organizationÂ¿s business objectives such as maximizing profit with high-degree of customer satisfaction. This paper addresses this gap by proposing a process execution management (PEM) framework which enables continual optimization of workflow process executions based upon business value metrics such as SLA breach penalty, revenue, and customer satisfaction index. We have implemented the PEM framework based upon leading commercial products. We have also used the framework to develop two representative business performance management solutions for service quality management processes and application execution workflows. Our experimental results show that, when compared with a state-of-the-art commercial workflow product, our PEM system can reduce the loss of business value of a set of process execution requests by 67% on average.",2005,,,,,IEEE SCC,,,
10023,GeneGrid: A Commercial Grid Service Oriented Virtual Bioinformatics Laboratory.,"GeneGrid is a collaborative industrial grid computing R&D project initiated by the Belfast e-Science Centre (BeSC) under the UK e-Science programme and supported by the UK Department of Trade & Industry (DTI). GeneGrid includes commercial partners who provide real business engagement. The project aims to provide a platform for scientists to access their collective resources, skills, experiences and results in a secure, reliable and scalable manner through the creation of a ""Virtual Bioinformatics Laboratory"". GeneGrid provides seamless integration of a myriad of heterogeneous applications and datasets that span multiple administrative domains and locations across the globe, and presents these to the scientist through a simple user friendly interface. This paper will present each of the five main GeneGrid components, and discuss how these components are integrated to form an advanced Service Oriented Architecture for automatic and dynamic in silico experiment execution. A commercial use case as provided by our industrial partners will also be discussed.",2005,,,,,IEEE SCC,,,
10024,AWS-Net Traveler: Autonomic Web Services Framework for Autonomic Business Processes.,"TodayÂ¿s information technologies, such as autonomic computing, offer companies new ways to do businesses. Those that fail to embrace and use such advantages in the next years are in danger to disappear or become zombie ones. In contrast, those pioneering these next-generation technology-business strategies will gain strategic advantage. This paper is about AWS-Net Traveler, which is an Autonomic Web Services Framework for performing Business Processes in an Autonomous mode. The main feature of this proposal is a decentralized architecture that heavily relies on Peer-to-Peer Web Service Brokers to coordinate, plan and perform Web Service choreographies. We introduce the Architecture of AWS-Net Traveler and the description of their main components.",2005,,,,,IEEE SCC,,,
10025,Ontology-Based Universal Knowledge Grid: Enabling Knowledge Discovery and Integration on the Grid.,"This paper proposes an ontology-based grid architecture model in terms of the Universal Knowledge Grid (UKG) for building large-scale distributed knowledge system on the grid. UKG emphasizes geographically distributed high-performance knowledge discovery applications and knowledge integration services. Five core components have been identified: an intelligent composer for user interface, an ontology server providing data integration ontology services, data mining ontology services, knowledge integration ontology services, a metadata directory server maintaining the metadata describing all the data, tools and knowledge, metadata database (db) stores metadata and a knowledge base as container for knowledge. An application example on Foreign Exchange Management (FEM) is also presented.",2004,,,,,IEEE SCC,,,
10027,Managing Trust in Active XML.,"Active XML [The Active XML Team, http://www-rocq.inria.fr/gemo/gemo/projects/axml/] combines XML Data and service calls to allow a simple and powerful Web services implementation. Security in Active XML is currently handled by matching the structure of the received data with an XML Schema representing the allowed data (including service calls). This solution is not fully satisfactory in case of an open environment where the services do not often know or trust each other. Moreover, the strength of Active XML lies in its simple and dynamic structure, and the modified XML Schemas used for security matching can quickly limit the allowed services, or give too much freedom to services that should not be trusted. Given that the result of an Active XML service call is some Active XML data (that may include more service calls), Active XML data is recursive, thus involving more security concerns. We propose a new framework based on the notion of Trust (Trusted Active XML) for handling security in Active XML. In this framework, ""trusted"" services' answers are not restricted to a specific data schema, while ""untrusted"" ones are prevented from performing some unwanted operations.",2004,,,,,IEEE SCC,,,
10028,VICOS: A Framework for Session Management in Network Computing Infrastructure.,"By introducing a virtual computing session abstraction to network computing infrastructure, and slightly extending its underlying remote display protocol, we propose VICOS (VIrtual COmputing Session): a framework of session management which provides session-level manageability, and allows multiple user to access the computing service on the server simultaneously. The virtual computing session abstraction also supports user roaming among desktops, i.e. user mobility. This framework isolates user's computing session from network or desktop failure. The session-level management mechanism provided by this framework improves the service availability and reliability. We have implemented our VICOS prototype in Linux. We demonstrate that our Linux VICOS prototype can provide general-purpose computing service with low overhead.",2004,,,,,IEEE SCC,,,
10029,A Multi-agent Negotiation Based Service Composition Method for On-demand Service.,"This paper provides a multi-agent negotiation based service composition approach to deal with end user on-demand service requirements. We introduce a system framework for service composition. In this framework, a workflow defines a generic and serviceindependent process model within which each service agent is able to select appropriate task node that fits for the end user requirement in run time. Specifically, agents will negotiate with one other to guarantee the satisfaction of the service consumersÂ¿ requirements. This paper introduces a methodology of how to model a service composition as a constraint satisfaction problem and solve the problem by a multi-agent negotiation algorithm.",2005,,,,,IEEE SCC,,,
10030,SH-MDS: A ShanghaiGrid Information Service Model.,"Grid computing is becoming a mainstream technology for sharing large-scale resources, accomplishing collaborative tasks and integrating distributed systems. Information Service plays a very important role in Grid Computing Environment. Through information Service Grid applications are able to exploit the knowledge about current grid status and configuration to adapt themselves to changes in heterogeneous, dynamic environments. In this paper, we propose a framework of Information Service based on the testbed ShanghaiGrid. In GT3, the Index Service in MDS can not provide a reliable indexing, while in our framework, using the notification method to contact Grid Services to Index Service to provide a reliable indexing. The information that Information Service should provide according with the ShanghaiGrid is discussed in detail.",2004,,,,,IEEE SCC,,,
10031,Verification of Dynamic Process Model Change to Support the Adaptive Workflow.,"As a technology that can improve the efficiency of the business process, workflow is drawing more and more attentions of researchers and software product vendors. But there are still many problems waiting to be solved for workflow. One of these problems is the poor adaptability of workflow. This paper intends to enhance the adaptability from the view of supporting dynamic process change. In the paper, a workflow model that is fit for dynamic change is defined and the verification rules are firstly set up for this model. Specifically, our method is based on the concept of executable path of workflow. Based on the executable path, the concepts and algorithms of valid process and complete sub-process are introduced to solve the problems brought by process model dynamic change.",2004,,,,,IEEE SCC,,,
10032,A Workflow Services Middleware Model on ShanghaiGrid.,"The ShanghaiGrid is an ongoing Grid Computing Environment (GCE) based on the Grid Service standards and the Open Grid Services Architecture. The ShanghaiGrid is a City Grid, which is to provide a general shared information Grid platform. Based on this point, a workflow management system is very import especially for user-defined workflow. By using the workflow, users in GCE would compose several Grid services as a new Service and provide it to others. This will enlarge the extensibility and business-originated usage in the GCE. This paper discusses the type of workflow, proposes a model of client-side workflow management system, and the design of several important workflow services. A service discovery process based on workflow is given in this paper too.",2004,,,,,IEEE SCC,,,
10034,ShanghaiGrid as An Information Service Grid: An Overview.,The goal of the ShanghaiGrid is to provide information services to the people. It aims to construct a metropolitan-area information service infrastructure and establish an open standard for widespread upper-layer applications from both communities and the government. This paper introduces the Information Service Grid Toolkit in detail.,2005,,,,,IEEE SCC,,,
10035,Architecture of Sensor based Agricultural Information System for Effective Planning of Farm Activities.,"The effectiveness of decision-making in agriculture domain can be improved by integrating current local environmental conditions with Agricultural Information System (AIS). To achieve this objective a series of functional blocks is proposed; which involves collection of environmental parameters from the farm, merging data from multiple sensors, communicating the collected data to the application server, extracting required information, defining ETL process, integration with ancillary data, analysis and presentation services. Web service based architecture comprising of distributed components is proposed to support the computational need. The proposed architecture extends analytical capabilities of end users with the help of multi dimensional expressions and OLAP.",2004,,,,,IEEE SCC,,,
10036,A Secure Model for Network-Attached Storage on the Grid.,,2004,,,,,IEEE SCC,,,
10037,An ECA Rule-based Workflow Design Tool for Shanghai Grid.,"Service integration, the ultimate goal of Shanghai Grid, has created a necessity for more efficient workflow infrastructure. Workflow design tool is one core component that assists in defining workflow processes as well as providing graphical representation of process model through which users can have an easier understanding of the semantics of process. This paper discusses a workflow design tool for Shanghai Grid that has the following features. First, it combines graphical process representation and ECA rules in controlling Grid workflow process. Second, integration adapter of the Grid Workflow system is presented to facilitate the composition of all possible services. Finally, this tool supports hierarchical graph definition that allows workflow coursing and refinement. In this way, it extends the scope of resource sharing and offers a well-layered view for complicated workflow. Design principle and implementation details of workflow design tool for Shanghai Grid are also given in this paper.",2005,,,,,IEEE SCC,,,
10038,Evaluating Resource Backup Policies for Computational Grid.,"In computational grid, resource backup is the most important method for improving the availability of applications.It can be implemented by making advance reservation of redundant resources.But in order to make the grid applications more cost-effective, it is absolutely necessary to devise multiple policies for resource backup in order to provide flexible resource backup services.In this paper, we give the detailed discussion of several resource backup policies which were briefly presented in our former work, and evaluate them with a Grid Resource Backup Simulator, GReBSim, which is designed as one of the simulating tools in our grid project.The simulating results show that combination of multiple policies is quite important for trading off in resource utilization and time to recovery for failed applications.",2004,,,,,IEEE SCC,,,
10039,The Application of the BSP Model on DataGrid.,"DataGrids are becoming increasingly important for sharing large data collections, achievements and resources. The BSP model is a widely used parallel programming model. The idea of the superstep in the BSP model should be able to help DataGrid access and storage in regular sequence. When services are not isolated from each other in multi-user environments, this should be able to avoid, in the process of data access and storage, the occurrence of four types or phenomena: Lost update, Dirty read, Nonrepeatable read, Phantom.",2004,,,,,IEEE SCC,,,
10040,WebPeer: A P2P-based System for Publishing and Discovering Web Services.,"The use of Web Services as an infrastructure of service sharing has made it possible to provide collaboration and interoperability in distributed computing environment. In this environment, service publishing and discovery are required as elementary functionalities for users to be able to locate the shared resources. The mechanism of service publishing and discovery with centralized architecture restricts the reliability and scalability of the distributed computing environment as the services and resources on the web are fast emerging. The peer-to-peer (P2P) systems and applications, on the other hand, employ distributed resources to perform critical functions in a decentralized manner. This paper introduces Web Services Oriented Peer-to-peer (WSOP) architecture with a combination of centralized and decentralized characteristics, and presents a framework of service publishing and discovery model based on WSOP architecture. The prototype system - WebPeer implemented based on this model demonstrates the WSOP architecture can not only help to overcome the known obstacles in common Web Services infrastructure such as single node failure, but also extend the ability of the pure P2P systems, such as more efficiently locating the resources, increasing the interoperability between different P2P systems. Key words: Peer-to-Peer, Web Services, Service Publishing, Service Discovery, Interoperability",2005,,,,,IEEE SCC,,,
10041,A Contextualized Fault-tolerant Infrastructure for P2P Mobile Service Composition.,"Peer-to-Peer applications harness sharing between free resources (storage, contents, services, human presence, etc.). Most existing wireless P2P applications concern merely the sharing of a variety of contents. For magnifying the extent of the sharing in wireless P2P (WP2P) environment, this paper presents a P2P mobile service sharing infrastructure that empowers an autonomous peer to propel distributed problem solving (e.g., in the travel domain) through service sharing and execution in an intelligent way. This infrastructure of service composition is not only highly robust to failure but also keenly aware of the surrounding context in wireless environments. We also have implemented this infrastructure into a system platform named UbiSrvInt (that shows promising evaluation results).",2004,,,,,IEEE SCC,,,
10042,Discovering Semantic Relations between Web Services Using Their Pre and Post-Conditions.,"Discovering and assembling individual Web services into more complex yet new and more useful Web processes receive significant attention from the academia recently. In this paper, we explore using pre and post-conditions of Web services to enable their automatic composition. Also, we present a novel technique for discovering semantic relations between pre and post-conditions of different services using their ontological descriptions. This enables determining services with complimentary functions and generating a semantic Web of services. Our technique takes semantic similarity of pre and post-conditions into account and builds on our earlier work on discovering semantic relationships between interfaces (input and output) of Web services.",2005,,,,,IEEE SCC,,,
10043,A Framework of a Tree-based Grid Information Service.,Information Service in the Grid provides the ability to discover and monitor resources which is fundamental for the Grid infrastructure. A framework of a tree-based Grid Information Service (TGIS) is proposed in this paper. This framework is based on GTÂ¿s MDS. MDS uses centralized GIIS to index services. Performance study shows that GIIS can not sustain large users and GRIS. Our TGIS framework uses decentralized GIIS to solve that problem. We construct each GIIS node in a tree structure which can solve system performance and scalability issue.,2005,,,,,IEEE SCC,,,
10044,A New Method for Measuring the Bottleneck Bandwidth.,"Measuring the bottleneck bandwidth of a path is useful to many applications. The existing tools to measure the network bottleneck bandwidth are mostly based on the packet pair technique. But the intrinsic error exists in packet pair technique due to the effect of the data link layer, and the incorrect results obtained by the filter algorithm when the network load is heavy. To resolve these problems, we put forward a new technique called packet tetrad. Because of the differentiate relation between the two packet pairs in a packet tetrad, the disturbance of the data link layer may be eliminated. So the packet tetrad technique has the high accuracy on measurement. The results of simulating measurements under ns-2 environment show that the packet tetrad mode has more robustness than the packet pair technique had.",2004,,,,,IEEE SCC,,,
10045,A Cooperative Computing Platform for Drug Discovery and Design.,"This paper presents a novel Peer-to-Peer based application scheduling algorithm for a cycle-sharing cluster computing system for drug discovery and design. Using the idle cycles donated by the clusters scattered over the Internet, data-intensive biologic applications in the field of drug discovery can be computed in this computing system. Clusters that donate idle cycles are organized in Peer-to-Peer overlay networks to eliminate problems caused by traditional client-server model. A novel application-based scheduling algorithm is designed to assign idle cycles to tasks efficiently. This algorithm also ensures the routing path length on the overlay network is close to the real network routing distance. Solid experimental results show the good performance of the proposal system.",2004,,,,,IEEE SCC,,,
10046,Recent Advances in CFD Grid Application Platform.,"The Computational Fluid Dynamics (CFD) Grid Application Platform provides a Grid environment for CFD applications using high performance computing. It adopts Service Oriented Architecture (SOA), bases IBM's Service Domain, extends and customizes it for CFD applications in several modules, such as service requesting, job scheduling, job management, failure recovering and etc. By defining general CFD application interfaces such as data format, the platform integrates different CFD applications, including mesh generation, domain decomposing and resolvers, to follow the workflow customized by end-users to finish a complete CFD job. Furthermore, CFD applications development specifications and packages are provided to facilitates migrating most of sequence and parallel CFD applications to the platform. Currently, a prototype system is available online to public for testing.",2004,,,,,IEEE SCC,,,
10047,Matchmaking for Semantic Web Services.,"The most important topic about the web recently is semantic web services. The current trend of the software development is to reduce the development time, but at the same time increase the functionality, reusability and stability of the building block without worrying about how the service is implemented. As the number of services available on the web increases, the difficulty for both the service requester and provider to look for the most suitable potential counterpart will also increase. Matchmaking therefore is an important aspect of the web interactions, which enable both service requester and provider trim down the amount of time to meet the most suitable potential counterpart. In this paper we describe how to blend the matchmaking algorithm to the typical web service architecture.",2004,,,,,IEEE SCC,,,
10048,Enhancing Grid Security with Trust Management.,"Recently, trust has been recognized as an important factor for Grid computing security. In this paper, we develop a trust management architecture for trust enhanced Grid security incorporating a novel trust model which is capable of capturing various types of trust relationships that exist in a Grid system and providing mechanisms for trust evaluation, recommendations and update for trust decisions. The outcomes of the trust decisions can then be employed by the Grid security system to formulate trust enhanced security solutions. We design several algorithms to demonstrate how one can derive the trust enhanced security solutions for both user and resource provider protection with the proposed trust management architecture. Leveraging on trust knowledge and forming it as part of the security decisions, the proposed architecture possesses several desirable emerging properties that enable it to provide an improved level of security for Grid computing systems.",2004,,,,,IEEE SCC,,,
10049,A WSLA-based monitoring system for Grid Service-GSMon.,,2004,,,,,IEEE SCC,,,
10050,Switching Cost Market Effects and the Pricing Model of e-Commerce.,,2004,,,,,IEEE SCC,,,
10052,IT Service Infrastructure for Integrative Systems Biology.,"Despite the large number of software tools and hardware platforms aiming to solve the problems that bioinformatics is facing today, there is no platform solution that can scale up to its demands, in terms of both scope and sheer volume. DiscoveryNet scientific workflow system is here extended into a service-centric component architecture that brings together cross-domain applications through web and grid services and composes them as novel service offerings. Two case studies implemented on top of the platform, SARS analysis and microarray/metabonomics, are described.",2004,,,,,IEEE SCC,,,
10053,Towards Composing Information Providing Services.,"Composing web services is an active field of research and development.Recently, many efforts are devoted to process integration on world changing services, e.g. business process composition.In this paper, we present a solution to compose information providing services to achieve more powerful capabilities and free the user from trivial work.Our work serves as an important complement to the existing research on process integration.",2004,,,,,IEEE SCC,,,
